Date,TempInSitu,Lux
2023-10-25T14:30:00Z,27.71,21002.24
2023-10-25T14:31:00Z,27.75,20679.68
2023-10-25T14:32:00Z,27.71,26112
2023-10-25T14:33:00Z,27.75,22548.48
2023-10-25T14:34:00Z,27.71,22476.8
2023-10-25T14:35:00Z,27.71,21719.04
2023-10-25T14:36:00Z,27.71,25681.92
2023-10-25T14:37:00Z,27.71,20382.72
2023-10-25T14:38:00Z,27.71,23797.76
2023-10-25T14:39:00Z,27.71,28037.12
2023-10-25T14:40:00Z,27.71,20710.4
2023-10-25T14:41:00Z,27.71,21145.6
2023-10-25T14:42:00Z,27.75,29440
2023-10-25T14:43:00Z,27.75,18954.24
2023-10-25T14:44:00Z,27.71,25804.8
2023-10-25T14:45:00Z,27.71,20536.32
2023-10-25T14:46:00Z,27.75,19773.44
2023-10-25T14:47:00Z,27.71,21729.28
2023-10-25T14:48:00Z,27.71,20039.68
2023-10-25T14:49:00Z,27.67,14970.88
2023-10-25T14:50:00Z,27.71,27197.44
2023-10-25T14:51:00Z,27.67,18073.6
2023-10-25T14:52:00Z,27.63,19978.24
2023-10-25T14:53:00Z,27.67,24381.44
2023-10-25T14:54:00Z,27.71,23531.52
2023-10-25T14:55:00Z,27.67,22405.12
2023-10-25T14:56:00Z,27.71,20879.36
2023-10-25T14:57:00Z,27.71,20162.56
2023-10-25T14:58:00Z,27.67,16773.12
2023-10-25T14:59:00Z,27.71,25702.4
2023-10-25T15:00:00Z,27.71,18565.12
2023-10-25T15:01:00Z,27.67,17331.2
2023-10-25T15:02:00Z,27.67,16419.84
2023-10-25T15:03:00Z,27.63,16348.16
2023-10-25T15:04:00Z,27.67,18744.32
2023-10-25T15:05:00Z,27.63,18012.16
2023-10-25T15:06:00Z,27.67,16691.2
2023-10-25T15:07:00Z,27.67,18042.88
2023-10-25T15:08:00Z,27.67,18391.04
2023-10-25T15:09:00Z,27.67,19957.76
2023-10-25T15:10:00Z,27.67,21166.08
2023-10-25T15:11:00Z,27.67,16977.92
2023-10-25T15:12:00Z,27.63,21985.28
2023-10-25T15:13:00Z,27.63,16133.12
2023-10-25T15:14:00Z,27.63,20556.8
2023-10-25T15:15:00Z,27.67,18503.68
2023-10-25T15:16:00Z,27.63,17054.72
2023-10-25T15:17:00Z,27.63,16757.76
2023-10-25T15:18:00Z,27.67,17607.68
2023-10-25T15:19:00Z,27.67,23726.08
2023-10-25T15:20:00Z,27.67,18831.36
2023-10-25T15:21:00Z,27.67,17018.88
2023-10-25T15:22:00Z,27.67,18831.36
2023-10-25T15:23:00Z,27.71,17326.08
2023-10-25T15:24:00Z,27.67,23971.84
2023-10-25T15:25:00Z,27.71,25128.96
2023-10-25T15:26:00Z,27.75,24084.48
2023-10-25T15:27:00Z,27.75,24637.44
2023-10-25T15:28:00Z,27.75,23255.04
2023-10-25T15:29:00Z,27.75,22630.4
2023-10-25T15:30:00Z,27.71,22671.36
2023-10-25T15:31:00Z,27.75,22046.72
2023-10-25T15:32:00Z,27.71,21831.68
2023-10-25T15:33:00Z,27.75,22661.12
2023-10-25T15:34:00Z,27.75,23080.96
2023-10-25T15:35:00Z,27.75,23449.6
2023-10-25T15:36:00Z,27.75,29644.8
2023-10-25T15:37:00Z,27.8,22364.16
2023-10-25T15:38:00Z,27.84,24750.08
2023-10-25T15:39:00Z,27.8,24186.88
2023-10-25T15:40:00Z,27.8,23203.84
2023-10-25T15:41:00Z,27.8,23326.72
2023-10-25T15:42:00Z,27.8,22968.32
2023-10-25T15:43:00Z,27.8,22876.16
2023-10-25T15:44:00Z,27.75,22712.32
2023-10-25T15:45:00Z,27.75,21637.12
2023-10-25T15:46:00Z,27.75,23971.84
2023-10-25T15:47:00Z,27.75,19752.96
2023-10-25T15:48:00Z,27.71,19532.8
2023-10-25T15:49:00Z,27.71,19312.64
2023-10-25T15:50:00Z,27.71,19799.04
2023-10-25T15:51:00Z,27.71,18560
2023-10-25T15:52:00Z,27.67,18923.52
