Plot Title: CT_324,,,,,,,,
#,"Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739324, SEN S/N: 20739324)","Temp, °C (LGR S/N: 20739324, SEN S/N: 20739324)",Coupler Detached (LGR S/N: 20739324),Coupler Attached (LGR S/N: 20739324),Host Connected (LGR S/N: 20739324),Stopped (LGR S/N: 20739324),End Of File (LGR S/N: 20739324)
1,10/25/2023 8:30:00,0,28.33,Logged,,,,
2,10/25/2023 8:31:00,0,28.34,,,,,
3,10/25/2023 8:32:00,0,28.34,,,,,
4,10/25/2023 8:33:00,0,28.34,,,,,
5,10/25/2023 8:34:00,0,28.36,,,,,
6,10/25/2023 8:35:00,0,28.36,,,,,
7,10/25/2023 8:36:00,0,28.36,,,,,
8,10/25/2023 8:37:00,0,28.36,,,,,
9,10/25/2023 8:38:00,0,28.36,,,,,
10,10/25/2023 8:39:00,40101.7,26.29,,,,,
11,10/25/2023 8:40:00,40101.7,26.29,,,,,
12,10/25/2023 8:41:00,40101.7,26.29,,,,,
13,10/25/2023 8:42:00,40101.7,26.29,,,,,
14,10/25/2023 8:43:00,0,28.36,,,,,
15,10/25/2023 8:44:00,0,28.36,,,,,
16,10/25/2023 8:45:00,0,28.34,,,,,
17,10/25/2023 8:46:00,0,28.34,,,,,
18,10/25/2023 8:47:00,0,28.33,,,,,
19,10/25/2023 8:48:00,0,28.32,,,,,
20,10/25/2023 8:49:00,0,28.31,,,,,
21,10/25/2023 8:50:00,0,28.3,,,,,
22,10/25/2023 8:51:00,0,28.28,,,,,
23,10/25/2023 8:52:00,0,28.26,,,,,
24,10/25/2023 8:53:00,0,28.25,,,,,
25,10/25/2023 8:54:00,0,28.22,,,,,
26,10/25/2023 8:55:00,0,28.2,,,,,
27,10/25/2023 8:56:00,0,28.17,,,,,
28,10/25/2023 8:57:00,0,28.15,,,,,
29,10/25/2023 8:58:00,0,28.11,,,,,
30,10/25/2023 8:59:00,0,28.09,,,,,
31,10/25/2023 9:00:00,0,28.06,,,,,
32,10/25/2023 9:01:00,0,28.04,,,,,
33,10/25/2023 9:02:00,0,28.01,,,,,
34,10/25/2023 9:03:00,0,27.99,,,,,
35,10/25/2023 9:04:00,0,27.96,,,,,
36,10/25/2023 9:05:00,0,27.94,,,,,
37,10/25/2023 9:06:00,0,27.92,,,,,
38,10/25/2023 9:07:00,0,27.9,,,,,
39,10/25/2023 9:08:00,0,27.88,,,,,
40,10/25/2023 9:09:00,0,27.85,,,,,
41,10/25/2023 9:10:00,0,27.84,,,,,
42,10/25/2023 9:11:00,0,27.9,,,,,
43,10/25/2023 9:12:00,39465.6,26.8,,,,,
44,10/25/2023 9:13:00,39669.3,26.78,,,,,
45,10/25/2023 9:14:00,39738.8,26.74,,,,,
46,10/25/2023 9:15:00,39789.2,26.74,,,,,
47,10/25/2023 9:16:00,39750.5,26.74,,,,,
48,10/25/2023 9:17:00,39820.3,26.74,,,,,
49,10/25/2023 9:18:00,18874.8,26.77,,,,,
50,10/25/2023 9:19:00,19015.4,26.77,,,,,
51,10/25/2023 9:20:00,19141.2,26.77,,,,,
52,10/25/2023 9:21:00,20865.8,26.77,,,,,
53,10/25/2023 9:22:00,22723.9,26.75,,,,,
54,10/25/2023 9:23:00,39816.4,26.74,,,,,
55,10/25/2023 9:24:00,39863.1,26.78,,,,,
56,10/25/2023 9:25:00,39925.4,26.8,,,,,
57,10/25/2023 9:26:00,39956.7,26.84,,,,,
58,10/25/2023 9:27:00,40015.4,26.86,,,,,
59,10/25/2023 9:28:00,39980.1,26.83,,,,,
60,10/25/2023 9:29:00,1648,26.77,,,,,
61,10/25/2023 9:30:00,1645.2,26.73,,,,,
62,10/25/2023 9:31:00,1643,26.67,,,,,
63,10/25/2023 9:32:00,1625.8,26.61,,,,,
64,10/25/2023 9:33:00,1620.3,26.56,,,,,
65,10/25/2023 9:34:00,1618.1,26.52,,,,,
66,10/25/2023 9:35:00,1616.4,26.5,,,,,
67,10/25/2023 9:36:00,1614.8,26.46,,,,,
68,10/25/2023 9:37:00,1612,26.4,,,,,
69,10/25/2023 9:38:00,1609.8,26.37,,,,,
70,10/25/2023 9:39:00,1608.7,26.34,,,,,
71,10/25/2023 9:40:00,1605.4,26.3,,,,,
72,10/25/2023 9:41:00,1604.3,26.28,,,,,
73,10/25/2023 9:42:00,1600.4,26.19,,,,,
74,10/25/2023 9:43:00,1595.5,26.14,,,,,
75,10/25/2023 9:44:00,1591.6,26.13,,,,,
76,10/25/2023 9:45:00,1584.4,26.04,,,,,
77,10/25/2023 9:46:00,1578.9,26.03,,,,,
78,10/25/2023 9:47:00,1574.5,26.02,,,,,
79,10/25/2023 9:48:00,1572.9,26.02,,,,,
80,10/25/2023 9:49:00,1551.4,26.03,,,,,
81,10/25/2023 9:50:00,1550.3,26.03,,,,,
82,10/25/2023 9:51:00,1549.2,26.01,,,,,
83,10/25/2023 9:52:00,1548.7,25.95,,,,,
84,10/25/2023 9:53:00,1548.1,25.87,,,,,
85,10/25/2023 9:54:00,1562.4,25.81,,,,,
86,10/25/2023 9:55:00,1561.9,25.79,,,,,
87,10/25/2023 9:56:00,1563.5,25.8,,,,,
88,10/25/2023 9:57:00,1563,25.77,,,,,
89,10/25/2023 9:58:00,1561.9,25.74,,,,,
