Date,TempInSitu,mV,pH,pH_Serial
1/15/24 6:38,27.06,-66.3,7.85,pH_195
1/15/24 6:39,27.28,-71.99,7.95,pH_195
1/15/24 6:40,27.36,-71.88,7.95,pH_195
1/15/24 6:41,27.41,-75.02,8,pH_195
1/15/24 6:42,27.55,-76.63,8.03,pH_195
1/15/24 6:43,27.53,-74.47,7.99,pH_195
1/15/24 6:44,27.58,-75.19,8,pH_195
1/15/24 6:45,27.6,-74.28,7.99,pH_195
1/15/24 6:46,27.63,-75.17,8,pH_195
1/15/24 6:47,27.68,-76.08,8.02,pH_195
1/15/24 6:48,27.68,-74.88,8,pH_195
1/15/24 6:49,27.68,-75.72,8.01,pH_195
1/15/24 6:50,27.73,-75.11,8,pH_195
1/15/24 6:51,27.75,-76.36,8.02,pH_195
1/15/24 6:52,27.73,-75.31,8.01,pH_195
1/15/24 6:53,27.75,-74.69,7.99,pH_195
1/15/24 6:54,27.78,-75.17,8,pH_195
1/15/24 6:55,27.8,-76,8.02,pH_195
1/15/24 6:56,27.8,-74.8,8,pH_195
1/15/24 6:57,27.8,-75.63,8.01,pH_195
1/15/24 6:58,27.8,-74.74,8,pH_195
1/15/24 6:59,27.85,-75.91,8.02,pH_195
1/15/24 7:00,27.87,-76.96,8.03,pH_195
1/15/24 7:01,27.85,-75.25,8,pH_195
1/15/24 7:02,27.85,-74.83,8,pH_195
1/15/24 7:03,27.87,-76.05,8.02,pH_195
1/15/24 7:04,27.87,-75.03,8,pH_195
1/15/24 7:05,27.87,-75.53,8.01,pH_195
1/15/24 7:06,27.87,-75.83,8.01,pH_195
1/15/24 7:07,27.87,-74.46,7.99,pH_195
1/15/24 7:08,27.87,-73.88,7.98,pH_195
1/15/24 7:09,27.87,-75.08,8,pH_195
1/15/24 7:10,27.9,-74.97,8,pH_195
1/15/24 7:11,27.95,-76.44,8.02,pH_195
1/15/24 7:12,27.9,-73.77,7.98,pH_195
1/15/24 7:13,27.92,-75.81,8.01,pH_195
1/15/24 7:14,27.95,-75.46,8.01,pH_195
1/15/24 7:15,27.95,-75.3,8,pH_195
1/15/24 7:16,27.95,-74.89,8,pH_195
1/15/24 7:17,27.97,-75.52,8.01,pH_195
1/15/24 7:18,27.92,-72.81,7.96,pH_195
1/15/24 7:19,27.97,-75.42,8.01,pH_195
1/15/24 7:20,28,-75.92,8.02,pH_195
1/15/24 7:21,27.97,-74.96,8,pH_195
1/15/24 7:22,27.97,-75.11,8,pH_195
1/15/24 7:23,27.95,-74.55,7.99,pH_195
1/15/24 7:24,27.97,-73.55,7.97,pH_195
1/15/24 7:25,27.97,-73.78,7.98,pH_195
1/15/24 7:26,28.02,-74.3,7.99,pH_195
1/15/24 7:27,28.02,-73.83,7.98,pH_195
1/15/24 7:28,28.05,-75.53,8.01,pH_195
1/15/24 7:29,28.05,-74.86,8,pH_195
1/15/24 7:30,28.02,-74.75,7.99,pH_195
1/15/24 7:31,28.07,-75.46,8.01,pH_195
1/15/24 7:32,28.05,-73.58,7.97,pH_195
1/15/24 7:33,28.05,-73.94,7.98,pH_195
1/15/24 7:34,28.07,-74.56,7.99,pH_195
1/15/24 7:35,28.05,-74.71,7.99,pH_195
1/15/24 7:36,28.1,-75.41,8.01,pH_195
1/15/24 7:37,28.1,-73.83,7.98,pH_195
1/15/24 7:38,28.1,-74.38,7.99,pH_195
1/15/24 7:39,28.1,-73.38,7.97,pH_195
1/15/24 7:40,28.15,-76.5,8.02,pH_195
1/15/24 7:41,28.12,-75.44,8.01,pH_195
1/15/24 7:42,28.15,-75.99,8.02,pH_195
1/15/24 7:43,28.17,-75.5,8.01,pH_195
1/15/24 7:44,28.17,-76.06,8.02,pH_195
