#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,01/29/2024 08:00:00,22.39,84.48
2,01/29/2024 08:01:00,22.48,90.52
3,01/29/2024 08:02:00,22.43,96.60
4,01/29/2024 08:03:00,22.43,99.20
5,01/29/2024 08:04:00,22.43,98.32
6,01/29/2024 08:05:00,22.39,102.76
7,01/29/2024 08:06:00,22.39,102.76
8,01/29/2024 08:07:00,22.39,102.76
9,01/29/2024 08:08:00,22.43,102.76
10,01/29/2024 08:09:00,22.39,102.76
11,01/29/2024 08:10:00,22.43,101.88
12,01/29/2024 08:11:00,22.39,102.64
13,01/29/2024 08:12:00,22.35,103.52
14,01/29/2024 08:13:00,22.35,102.64
15,01/29/2024 08:14:00,22.39,102.64
16,01/29/2024 08:15:00,22.35,102.64
17,01/29/2024 08:16:00,22.35,102.64
18,01/29/2024 08:17:00,22.35,101.80
19,01/29/2024 08:18:00,22.39,102.64
20,01/29/2024 08:19:00,22.43,102.64
21,01/29/2024 08:20:00,22.39,101.80
22,01/29/2024 08:21:00,22.39,102.64
23,01/29/2024 08:22:00,22.39,102.64
24,01/29/2024 08:23:00,22.43,102.64
25,01/29/2024 08:24:00,22.39,101.80
26,01/29/2024 08:25:00,22.43,101.80
27,01/29/2024 08:26:00,22.43,100.92
28,01/29/2024 08:27:00,22.39,96.60
29,01/29/2024 08:28:00,22.39,94.84
30,01/29/2024 08:29:00,22.39,94.84
31,01/29/2024 08:30:00,22.35,100.92
32,01/29/2024 08:31:00,22.39,101.80
33,01/29/2024 08:32:00,22.35,101.80
34,01/29/2024 08:33:00,22.39,100.92
35,01/29/2024 08:34:00,22.39,94.84
36,01/29/2024 08:35:00,22.39,94.00
37,01/29/2024 08:36:00,22.35,93.12
38,01/29/2024 08:37:00,22.35,93.12
39,01/29/2024 08:38:00,22.31,100.04
40,01/29/2024 08:39:00,22.35,100.04
41,01/29/2024 08:40:00,22.35,100.04
42,01/29/2024 08:41:00,22.39,100.04
43,01/29/2024 08:42:00,22.31,98.32
44,01/29/2024 08:43:00,22.35,94.84
45,01/29/2024 08:44:00,22.35,99.20
46,01/29/2024 08:45:00,22.35,100.04
47,01/29/2024 08:46:00,22.31,99.20
48,01/29/2024 08:47:00,22.31,99.20
49,01/29/2024 08:48:00,22.31,97.44
50,01/29/2024 08:49:00,22.31,94.84
51,01/29/2024 08:50:00,22.35,99.20
52,01/29/2024 08:51:00,22.31,99.20
53,01/29/2024 08:52:00,22.35,97.44
54,01/29/2024 08:53:00,22.31,97.44
55,01/29/2024 08:54:00,22.31,96.60
56,01/29/2024 08:55:00,22.31,93.12
57,01/29/2024 08:56:00,22.31,98.32
58,01/29/2024 08:57:00,22.35,95.72
59,01/29/2024 08:58:00,22.35,94.84
60,01/29/2024 08:59:00,22.31,96.60
61,01/29/2024 09:00:00,22.31,92.28
62,01/29/2024 09:01:00,22.35,92.28
63,01/29/2024 09:02:00,22.31,97.44
64,01/29/2024 09:03:00,22.35,98.32
65,01/29/2024 09:04:00,22.35,98.32
66,01/29/2024 09:05:00,22.31,97.44
67,01/29/2024 09:06:00,22.35,98.32
68,01/29/2024 09:07:00,22.31,98.32
69,01/29/2024 09:08:00,22.31,98.32
